id;customer_code;phone;email;first_name;last_name;date_of_birth;address_line_1;address_line_2;city;state;country;postal_code;is_active
0c0b9978-755d-42a5-8222-354b337c7f47;often;866-642-5780 x860;Modesto_Olson81@yahoo.com;Guadalupe;Schimmel;2025-12-27;yet extension;bookcase;Arvelport;within;Canada;regarding drag cross;true
5f2a81ce-5b71-4bb9-821e-0f8bdd29d34f;unnaturally whether;(881) 290-4122 x761;Laurel_Schamberger27@hotmail.com;Kylie;Carter;2025-12-27;ha till;micromanage serene;Pittsburgh;airport awkwardly;Guinea-Bissau;unto kinase mmm;true
dc1f35e9-4327-47d5-b5c9-dabce840003b;agile ignite;301.952.5694 x37853;Percy.Parisian10@hotmail.com;Elmore;Auer;2025-12-27;sedately;quiet;South Bufordbury;stoop waver representation;North Macedonia;superb bare;false
41e7ec2b-1a31-495e-99b4-ae74bdb06818;metabolise cripple barring;1-784-262-8477 x2757;Jeanette_Parker@gmail.com;Jessyca;Bode;2025-12-27;incidentally when;evenly;Lake Ronny;ick procurement phooey;French Southern Territories;aboard curiously ouc;true
d1abddf1-b340-44bb-8d6e-2271882a473b;woot;741.330.4000 x4997;Jeanette47@yahoo.com;Dee;Wilderman;2025-12-27;a;unfortunately canter window;Maple Grove;when cap gadzooks;Maldives;bracelet monthly upo;true
59c62f71-efc2-4be3-8810-9a3ec679eb5a;spellcheck;1-268-256-4579 x192;Julius_Halvorson@yahoo.com;Aniya;Watsica;2025-12-27;grouchy packaging;times under glossy;North Rowenastead;fooey wherever gah;Mayotte;variable;false
bccb9209-edc2-4caa-a301-b187ba8da9d2;eek equate;678.354.2600;Kyra_McLaughlin@yahoo.com;Jeanne;Rippin-Franey;2025-12-28;turret officially beside;sympathetically sedately yuck;Warwick;ah profuse;Australia;indeed whoa masterpi;true
e08bd386-1a9f-426d-84b0-758319eb0730;where;(352) 363-3135 x2223;Cristina.Pouros77@hotmail.com;Flo;Bradtke;2025-12-27;when;joy eventually well-groomed;Hodkiewiczton;appropriate;Sint Maarten;legitimize sadly hm;true
a8b685ab-c654-48d5-ae06-51b4d71ada0d;woot despite etch;(543) 339-8585;Twila_McGlynn64@gmail.com;Lenny;Watsica;2025-12-27;including than;exalt cutlet dishearten;Lake Eliane;upbeat ugh uh-huh;New Caledonia;whenever;false
cd123a85-1d9a-48bb-b75d-9bf16256229a;preclude calculating reorient;(658) 370-5689 x1510;Anastacio_Thiel@gmail.com;Vickie;Prosacco;2025-12-27;wherever spook furthermore;before;New Jaceymouth;trash jacket where;Hong Kong;popularity poppy but;false
